https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume ETH,Volume USDC,tradecount
1664416800000,2022-09-29 02:00:00,ETHUSDC,1345.45,1345.45,1330.58,1338.12,387.7045,519621.63249,295
1664413200000,2022-09-29 01:00:00,ETHUSDC,1332.95,1351.81,1332.95,1344.24,157.3381,211650.409919,345
1664409600000,2022-09-29 00:00:00,ETHUSDC,1337.32,1343.86,1328.16,1333.8,252.2711,337397.612187,281
1664406000000,2022-09-28 23:00:00,ETHUSDC,1339.69,1343.78,1335.87,1337.68,73.0655,97914.489273,107
1664402400000,2022-09-28 22:00:00,ETHUSDC,1345.71,1346.67,1333.28,1337.28,159.5693,213993.347209,167
1664398800000,2022-09-28 21:00:00,ETHUSDC,1350.74,1354.59,1341.95,1345.3,429.8779,579837.898735,439
1664395200000,2022-09-28 20:00:00,ETHUSDC,1335.17,1354.86,1334.0,1349.33,1168.4317,1573915.743765,1142
1664391600000,2022-09-28 19:00:00,ETHUSDC,1333.17,1343.36,1323.13,1334.13,631.6897,842282.053776,696
1664388000000,2022-09-28 18:00:00,ETHUSDC,1322.59,1335.8,1314.57,1334.06,596.697,790346.773058,709
1664384400000,2022-09-28 17:00:00,ETHUSDC,1329.77,1335.55,1311.22,1322.11,1079.1356,1432120.441735,1129
1664380800000,2022-09-28 16:00:00,ETHUSDC,1332.35,1339.34,1328.45,1329.26,854.9717,1140140.303241,941
1664377200000,2022-09-28 15:00:00,ETHUSDC,1326.02,1332.99,1322.26,1332.1,521.8802,693021.264805,604
1664373600000,2022-09-28 14:00:00,ETHUSDC,1310.86,1331.37,1305.26,1325.77,1406.2323,1855612.681441,1327
1664370000000,2022-09-28 13:00:00,ETHUSDC,1303.86,1318.67,1298.44,1311.02,1034.9698,1354488.722253,1188
1664366400000,2022-09-28 12:00:00,ETHUSDC,1295.23,1311.97,1293.52,1304.52,514.1011,669300.01397,647
1664362800000,2022-09-28 11:00:00,ETHUSDC,1302.7,1305.65,1287.49,1294.85,571.5649,739311.074073,695
1664359200000,2022-09-28 10:00:00,ETHUSDC,1272.13,1311.49,1253.02,1303.61,2662.0061,3428680.046509,2643
1664355600000,2022-09-28 09:00:00,ETHUSDC,1282.68,1283.72,1269.57,1273.06,583.0409,743235.850597,737
1664352000000,2022-09-28 08:00:00,ETHUSDC,1285.57,1285.77,1277.0,1282.42,1287.3937,1648254.274861,778
1664348400000,2022-09-28 07:00:00,ETHUSDC,1278.5,1286.32,1266.84,1285.51,959.2957,1225766.91811,1104
1664344800000,2022-09-28 06:00:00,ETHUSDC,1286.64,1293.11,1277.9,1278.01,331.5936,426296.398267,519
1664341200000,2022-09-28 05:00:00,ETHUSDC,1283.66,1286.93,1277.28,1286.07,291.9314,374575.531547,450
1664337600000,2022-09-28 04:00:00,ETHUSDC,1287.12,1289.02,1281.13,1283.97,562.034,722018.404734,510
1664334000000,2022-09-28 03:00:00,ETHUSDC,1277.1,1288.3,1275.87,1287.09,928.9809,1192269.66605,1429
1664330400000,2022-09-28 02:00:00,ETHUSDC,1310.07,1312.1,1267.52,1276.82,2410.0608,3096757.448709,3077
1664326800000,2022-09-28 01:00:00,ETHUSDC,1334.16,1336.69,1306.01,1310.64,905.0102,1192076.740121,1077
1664323200000,2022-09-28 00:00:00,ETHUSDC,1328.43,1339.99,1328.43,1333.4,391.0055,521780.266591,505
1664319600000,2022-09-27 23:00:00,ETHUSDC,1330.19,1335.14,1326.3,1328.03,393.7558,523969.112597,572
1664316000000,2022-09-27 22:00:00,ETHUSDC,1322.11,1333.07,1317.2,1330.15,757.5589,1005096.368004,687
1664312400000,2022-09-27 21:00:00,ETHUSDC,1325.03,1325.92,1317.29,1321.83,297.9105,393724.218822,364
1664308800000,2022-09-27 20:00:00,ETHUSDC,1324.54,1325.36,1317.3,1324.49,649.7727,858362.958557,577
1664305200000,2022-09-27 19:00:00,ETHUSDC,1323.57,1330.91,1311.78,1324.43,1061.1603,1402848.265445,1196
1664301600000,2022-09-27 18:00:00,ETHUSDC,1314.28,1325.66,1303.88,1322.65,1062.7075,1396907.407343,1123
